"DispFrames","NoAudioPlayed","NoRTPPkts"
24,41.5899999142,141.610001802
24,41.4100000858,134.729995966
24,42,107
24,41.5899999142,112.740001202
24,41.4100000858,112.799998283
24,42,101.820000172
24,41.5899999142,112.84000206
24,41.4100000858,115.519997597
24,42,99
24,41.5899999142,96.9499995708
24,41.4100000858,91.9499995708
24,42,88.1799998283
24,41.5899999142,86.5899999142
24.4100000858,41.4100000858,94.2000017166
24.5899999142,42,118.300002575
24,41.5899999142,142.970001459
24,41.4100000858,151.769999743
24,42,138.519997597
23.5899999142,41.5899999142,137.990003347
23.4100000858,41.4100000858,149.109997511
24,42,133.230000257
24,41.5899999142,132.949999571
24,41.4100000858,127.129999399
24,42,137.76000309
24,41.5899999142,167.610001802
24,41.4100000858,191.480002403
24,42,182.989994764
24,41.5899999142,150.690000772
23.5899999142,41.4100000858,152.719999313
23.4100000858,42,148.410000086
24,41.5899999142,140.799998283
24,41.4100000858,132.280000687
24,42,143.150001287
24,41.5899999142,154.460000515
24,41.4100000858,153.899999142
24,42,154.150001287
24,41.5899999142,170.380001545
24,41.4100000858,181.410000086
24.4100000858,42,164.369996309
24.1799998283,41.5899999142,136.539999485
23.4100000858,41.4100000858,137.92000103
24,42,150.330001116
24,41.5899999142,156.359999657
24,41.4100000858,159.740001202
24,42,170.460000515
24,41.5899999142,167.439998627
24,41.4100000858,160.870000601
24,42,165
24,41.5899999142,170.740001202
24,41.4100000858,183.100000858
24,42,186.129999399
24,41.5899999142,172.15999794
24,41.4100000858,153.489999056
24,42,142.489999056
24,41.5899999142,131.07999897
24,41.4100000858,119.489999056
24,42,132.68000412
24,41.5899999142,161
24,41.4100000858,154.029998541
24,42,147.280000687
24,41.5899999142,152.410000086
24,41.4100000858,148.899999142
24,42,149.150001287
24,41.5899999142,151.849998713
24,41.4100000858,144.230000257
24,42,151.330001116
24,41.5899999142,160.230000257
24,41.4100000858,169.380001545
24,42,171.799998283
24,41.5899999142,140.31999588
24,41.4100000858,117.740001202
24,42,126
24,41.5899999142,126.820000172
23.5899999142,41.4100000858,136.200001717
23.4100000858,42,151.280000687
24,41.5899999142,156.410000086
24,41.4100000858,151.259998798
24,42,149.560001373
24,41.5899999142,149.15999794
24,41.4100000858,133.769999743
24,42,129.539999485
24,41.5899999142,124.359999657
24,41.4100000858,119.539999485
24,42,120.510000944
24,41.5899999142,127
24,41.4100000858,121.669998884
24,42,114
24,41.5899999142,116.460000515
24,41.4100000858,128.610001802
24,42,143.460000515
24,41.5899999142,151.92000103
24,41.4100000858,160.640000343
24,42,161.769999743
24,41.5899999142,166.150001287
24,41.4100000858,181.150001287
24,42,185.07999897
24,41.5899999142,172.669998884
24,41.4100000858,160.07999897
24,42,150.129999399
24,41.5899999142,141.489999056
24,41.4100000858,133.769999743
24,42,133.230000257
24,41.5899999142,148.530002832
24,41.4100000858,177.430001974
24,42,194.280000687
24,41.5899999142,196.539999485
24,41.4100000858,169.629995108
24,42,119.599996567
24,41.5899999142,95.1799998283
24,41.4100000858,90.7199993134
24,42,88.8700006008
24,41.5899999142,92.1799998283
24,41.4100000858,88.1299993992
24,42,84
24,41.5899999142,128.690009356
24,41.4100000858,150.359991074
24,42,91.8700006008
24,41.5899999142,98.8700006008
23.5899999142,41.4100000858,103.820000172
23.4100000858,42,105.410000086
24,41.5899999142,105.589999914
24,41.4100000858,105.410000086
24,42,106
24.4100000858,41.5899999142,106.410000086
24.5899999142,41.4100000858,107.410000086
24,42,107.179999828
24,41.5899999142,106.410000086
24,41.4100000858,108.640000343
23.5899999142,42,112.230000257
23.4100000858,41.5899999142,116.050000429
24,41.4100000858,122.280000687
