"DispFrames","NoAudioPlayed","NoRTPPkts"
13,41.6099998951,65.8700034618
15.4399995804,41.3900001049,74.3499963284
17.6099998951,41.6099998951,109.349996328
14.9500005245,42,108.360002518
13,42,120.349996328
13,41.3900001049,108.990004301
14.8299996853,41.6099998951,92.3900001049
20.8799991608,42,93.8299996853
22.7800002098,41.3900001049,113.299996853
17.1200008392,41.6099998951,102.430003881
13.3900001049,42,99.5899980068
14.8299996853,41.3900001049,100.290001154
20.8799991608,41.6099998951,85.0200018883
24,42,93.2499973774
20.9500005245,41.3900001049,88.3600025177
15.9500005245,41.6099998951,80.8299996853
15.2199997902,42,96.6399974823
19.6599993706,41.3900001049,91.3600025177
16.5100009441,41.6099998951,92.3699982166
13,42,97.1700003147
13.6099998951,41.3900001049,92.9500005245
14.6099998951,41.6099998951,93.4399995804
16.8299996853,42,90.1200008392
14.9500005245,41.3900001049,85.1700003147
13,41.6099998951,84.6099998951
13,41.3900001049,97.809997797
15.4399995804,41.6099998951,110.269999266
18.2199997902,42,108.730000734
15.3400006294,42,109.049999475
13,41.3900001049,107.950000525
13.6099998951,41.6099998951,108.43999958
15.2199997902,42,108.78000021
17.8299996853,41.3900001049,110.43999958
15.3400006294,41.6099998951,112
13,42,109.56000042
13,41.3900001049,83.6000041962
15.4399995804,41.6099998951,66.7800002098
15.1700003147,42,69.6599993706
13.3900001049,41.3900001049,57.9700024128
13,41.6099998951,61.1999979019
13,42,69
14.2199997902,41.3900001049,83.6399974823
16.2199997902,41.6099998951,67.380004406
14.5600004196,42,65.6399974823
13,41.3900001049,75.6099998951
13,41.6099998951,77.2199997902
15.4399995804,42,76.1700003147
15.7800002098,41.3900001049,59.7500026226
13.7800002098,41.6099998951,66.4699971676
13,42,76.3900001049
13,41.3900001049,74.7800002098
14.8299996853,41.6099998951,59.9700024128
16.6099998951,42,95.529992342
14.5600004196,41.3900001049,105.700003147
13,41.6099998951,67.7700045109
13.6099998951,42,77.8399953842
14.6099998951,41.3900001049,92.5600004196
14.3900001049,41.6099998951,65.380004406
14,42,77.6699950695
13.3900001049,41.3900001049,99.0499994755
13,41.6099998951,69.280005455
14.8299996853,42,82.5499942303
14.1700003147,41.3900001049,69.2300059795
13.6099998951,41.6099998951,84.2099936008
13.3900001049,42,106.78000021
13,41.3900001049,71.2300059795
15.4399995804,41.6099998951,86.8199934959
14.5600004196,42,107.950000525
13,41.3900001049,70.6200060844
13,41.6099998951,82.1599941254
13.6099998951,42,71.0600056648
14.6099998951,41.3900001049,83.5499942303
13.7800002098,41.6099998951,70.2300059795
13,41.3900001049,73.0099956989
13,41.6099998951,84.1200008392
13,42,60.8700034618
15.4399995804,42,65.6899969578
14.5600004196,41.3900001049,58.7000031471
13,41.6099998951,62.8599972725
13,42,57.1400027275
13.6099998951,41.3900001049,68.9599962234
15.2199997902,41.6099998951,82.3900001049
15.3900001049,42,62.4800033569
13.7800002098,41.3900001049,71.3499963284
13,41.6099998951,62.4300038815
13,41.3900001049,72.3999958038
14.8299996853,41.6099998951,64.2100040913
14.1700003147,42,77.6699950695
13,41.3900001049,76.4800033569
13,41.6099998951,66.4399995804
13,42,56.4100019932
14.8299996853,41.3900001049,58.1499984264
14.7800002098,41.6099998951,64
13.3900001049,42,54.8500015736
13,42,59.3699982166
13,41.3900001049,55.0200018883
14.8299996853,41.6099998951,58.3699982166
14.1700003147,41.3900001049,65
13,41.6099998951,54.6300017834
13.6099998951,42,61.4199976921
13.3900001049,42,72.4399995804
14.2199997902,41.3900001049,56.9200029373
13.7800002098,41.6099998951,46.6099998951
13.6099998951,42,62.2499973774
13.3900001049,41.3900001049,57.3600025177
13,41.6099998951,65.0799970627
14.8299996853,42,75.3900001049
15.3900001049,41.3900001049,59.1400027275
13.7800002098,41.6099998951,64.2499973774
13,42,75.2199997902
13,41.3900001049,72.3400006294
14.8299996853,41.6099998951,69.3900001049
14.7800002098,42,56.8000020981
13.3900001049,41.3900001049,61.809997797
13.6099998951,41.6099998951,71.8299996853
13.3900001049,42,80.3199987411
15.4399995804,41.3900001049,62.4300038815
15.7800002098,41.6099998951,69.9599962234
13.7800002098,42,84
13,41.3900001049,62.6500036716
13,41.6099998951,70.9599962234
15.4399995804,41.3900001049,84.3900001049
15.1700003147,41.6099998951,62.6500036716
13.3900001049,42,69.7399964333
13,42,62.2600035667
13.6099998951,41.3900001049,69.7399964333
15.2199997902,41.6099998951,92.1499984264
14.7800002098,42,68.7200050354
13.3900001049,41.3900001049,59.1499984264
13,41.6099998951,67.4399995804
13.6099998951,42,58.0200018883
15.2199997902,41.3900001049,62.5899980068
16,41.6099998951,68.7800002098
